id,Favorite Format,Favorite Color,Decks Owned
1,Pauper,G,6
3,Pauper,G,5
5,Modern,R,4
7,Legacy,G,5
9,Legacy,B,2
11,Vintage,R,5
13,Commander,U,4
15,Commander,R,10
17,Vintage,R,3
19,Vintage,R,9
21,Vintage,B,9
23,Modern,R,3
25,Vintage,U,10
27,Commander,U,4
29,Legacy,B,7
31,Legacy,R,9
33,Pauper,R,7
35,Legacy,U,7
37,Vintage,R,5
39,Modern,G,10
41,Vintage,G,8
43,Commander,U,5
45,Pauper,W,7
47,Vintage,R,4
49,Modern,R,8
51,Modern,G,2
53,Commander,U,1
55,Pauper,W,5
57,Vintage,R,1
59,Legacy,U,2
61,Vintage,W,7
63,Vintage,G,10
65,Modern,U,8
67,Legacy,W,6
69,Modern,G,8
71,Commander,W,10
73,Legacy,U,3
75,Vintage,G,2
77,Commander,W,3
79,Modern,G,5
81,Legacy,U,4
83,Legacy,G,6
85,Commander,W,5
87,Legacy,U,3
89,Legacy,W,2
91,Pauper,B,7
93,Commander,R,10
95,Vintage,W,2
97,Modern,U,2
99,Commander,G,9
101,Commander,U,8
103,Commander,R,3
105,Pauper,U,1
107,Pauper,G,8
109,Modern,U,8
111,Commander,G,2
113,Legacy,W,5
115,Modern,G,1
117,Pauper,R,2
119,Vintage,G,2
121,Commander,W,2
123,Modern,R,9
125,Commander,U,9
127,Commander,R,9
129,Vintage,R,6
131,Modern,U,2
133,Vintage,U,5
135,Pauper,B,3
137,Commander,R,9
139,Vintage,B,2
141,Legacy,W,8
143,Modern,B,7
145,Commander,R,6
147,Modern,R,7
149,Vintage,R,1
151,Modern,B,7
153,Legacy,U,1
155,Legacy,W,6
157,Vintage,G,9
159,Vintage,B,9
161,Vintage,G,2
163,Legacy,W,2
165,Legacy,B,3
167,Pauper,R,9
169,Modern,U,5
171,Legacy,W,10
173,Commander,W,5
175,Vintage,B,4
177,Modern,G,5
179,Vintage,U,5
181,Legacy,U,1
183,Pauper,R,4
185,Modern,W,7
187,Vintage,B,6
189,Commander,B,9
191,Legacy,R,4
193,Vintage,U,4
195,Commander,U,7
197,Legacy,R,6
199,Legacy,R,6
201,Pauper,G,9
203,Modern,W,4
205,Vintage,U,4
207,Commander,W,4
209,Legacy,W,1
211,Modern,U,9
213,Legacy,R,9
215,Commander,G,8
217,Commander,G,7
219,Legacy,R,7
221,Modern,G,3
223,Commander,W,9
225,Vintage,R,4
227,Commander,W,6
229,Pauper,B,6
231,Modern,U,6
233,Modern,U,6
235,Modern,B,8
237,Commander,B,8
239,Pauper,W,2
241,Legacy,R,10
243,Modern,B,2
245,Vintage,R,2
247,Vintage,W,8
249,Pauper,B,5
251,Modern,G,10
253,Vintage,G,5
255,Commander,R,1
257,Pauper,W,3
259,Commander,G,7
261,Modern,W,3
263,Commander,G,2
265,Legacy,B,3
267,Modern,R,9
269,Pauper,B,10
271,Vintage,U,8
273,Pauper,R,1
275,Commander,W,9
277,Legacy,U,9
279,Modern,W,3
281,Vintage,U,8
283,Legacy,G,2
285,Pauper,B,2
287,Modern,U,1
289,Pauper,W,8
291,Modern,B,5
293,Commander,U,8
295,Pauper,B,4
297,Modern,R,9
299,Pauper,G,2
301,Modern,B,4
303,Legacy,B,10
305,Legacy,B,1
307,Legacy,B,9
309,Pauper,G,4
311,Pauper,R,9
313,Legacy,W,5
315,Modern,W,1
317,Commander,B,5
319,Pauper,G,2
321,Commander,W,3
323,Pauper,U,2
325,Legacy,R,3
327,Modern,G,7
329,Legacy,W,5
331,Pauper,R,8
333,Legacy,G,2
335,Vintage,R,2
337,Vintage,W,2
339,Legacy,U,6
341,Commander,B,8
343,Pauper,W,7
345,Legacy,W,6
347,Legacy,G,1
349,Vintage,B,4
351,Modern,B,3
353,Legacy,W,5
355,Legacy,R,4
357,Legacy,R,6
359,Pauper,G,2
361,Legacy,U,7
363,Commander,R,3
365,Pauper,U,1
367,Pauper,R,2
369,Commander,R,1
371,Modern,G,2
373,Vintage,W,3
375,Legacy,G,5
377,Legacy,B,10
379,Legacy,B,4
381,Legacy,R,2
383,Legacy,R,1
385,Modern,G,10
387,Pauper,G,7
389,Modern,G,3
391,Pauper,U,5
393,Modern,G,5
395,Vintage,B,10
397,Pauper,U,6
399,Modern,W,10
